fecha;lluvia_330114;lluvia_330020;lluvia_330019;lluvia_330021;lluvia_promedio;acumulado_real
2022-05-23;0,0;0,0;0,0;0,0;0,0;0,0
2022-05-24;0,0;0,0;0,0;0,0;0,0;0,0
2022-05-25;0,0;0,0;0,0;0,0;0,0;0,0
2022-05-26;0,1;0,0;0,0;0,0;0,025;0,025
2022-05-27;0,0;0,0;0,0;0,0;0,0;0,025
2022-05-28;0,0;0,0;0,0;0,0;0,0;0,025
2022-05-29;0,0;0,0;0,0;0,0;0,0;0,025
2022-05-30;0,0;0,0;0,0;0,0;0,0;0,025
2022-05-31;0,0;0,0;0,0;0,0;0,0;0,025
2022-06-01;2,5;3,3;4,5;1,7;3,0;3,025
2022-06-02;0,0;0,0;0,0;0,0;0,0;3,025
2022-06-03;7,0;6,8;12,9;4,4;7,775;10,8
2022-06-04;0,0;0,1;0,0;0,0;0,025;10,825000000000001
2022-06-05;0,0;0,0;0,0;0,0;0,0;10,825000000000001
2022-06-06;0,1;0,0;0,0;0,0;0,025;10,850000000000001
2022-06-07;0,0;0,0;0,0;0,0;0,0;10,850000000000001
2022-06-08;0,1;0,0;0,0;0,0;0,025;10,875000000000002
2022-06-09;0,1;0,0;0,0;0,0;0,025;10,900000000000002
2022-06-10;0,0;0,0;0,0;0,0;0,0;10,900000000000002
2022-06-11;0,0;0,0;0,0;0,0;0,0;10,900000000000002
2022-06-12;0,2;0,0;0,0;0,0;0,05;10,950000000000003
2022-06-13;0,2;0,0;0,0;0,0;0,05;11,000000000000004
2022-06-14;0,0;0,0;0,1;0,0;0,025;11,025000000000004
2022-06-15;0,0;0,0;0,0;0,0;0,0;11,025000000000004
2022-06-16;0,0;0,0;0,0;0,0;0,0;11,025000000000004
2022-06-17;0,1;0,0;0,0;0,0;0,025;11,050000000000004
2022-06-18;0,0;0,0;0,0;0,0;0,0;11,050000000000004
2022-06-19;0,0;0,0;0,0;0,0;0,0;11,050000000000004
2022-06-20;0,0;0,0;0,0;0,0;0,0;11,050000000000004
2022-06-21;0,0;0,0;0,0;0,0;0,0;11,050000000000004
2022-06-22;6,9;8,9;6,9;5,8;7,125000000000001;18,175000000000004
2022-06-23;3,6;2,4;0,1;4,3;2,5999999999999996;20,775000000000006
2022-06-24;0,0;0,0;0,0;0,0;0,0;20,775000000000006
2022-06-25;0,1;0,0;0,0;0,0;0,025;20,800000000000004
2022-06-26;0,1;0,0;0,0;0,0;0,025;20,825000000000003
2022-06-27;3,5;1,1;4,9;2,9;3,1;23,925000000000004
2022-06-28;0,0;0,0;0,0;0,0;0,0;23,925000000000004
2022-06-29;0,0;0,0;0,0;0,0;0,0;23,925000000000004
2022-06-30;4,1;4,9;0,3;3,4;3,1750000000000003;27,100000000000005
2022-07-01;10,0;12,7;20,4;9,1;13,049999999999999;40,150000000000006
2022-07-02;0,1;0,0;0,0;0,0;0,025;40,175000000000004
